Genome,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
34,8,0,0,12,8,8,8,8,0,16,13,11,13,9,12,11,16,0,16,0,16,8,16,16,16,16,0,8,16,16,16,13,0,8,16,16,18,20,27,20,16,8,20,1,8,14,24,17,60,60,24,24,24,20,26,28,60,24,0,16,24,8,61,24,24,60,27,63,63,60,47,21,24,8,63,63,16,63,63,27,29,28,8,8,55,63,24,20,24,0,5,63,63,26,63,63,55,30,25,97
35,8,8,0,12,0,8,11,8,8,13,8,8,12,12,16,16,11,16,16,11,16,15,16,9,16,16,16,16,16,16,8,16,16,16,8,20,8,16,16,16,20,23,20,16,16,16,24,24,16,18,24,27,16,26,21,8,60,27,60,8,24,24,25,63,63,54,8,24,0,63,25,8,24,63,55,30,58,31,26,63,63,63,47,25,46,16,54,54,0,63,54,63,97,30,0,63,62,55,63,52
36,8,8,0,10,8,0,8,13,0,0,8,8,16,15,12,16,16,8,0,16,16,16,11,0,16,16,16,16,8,16,17,16,22,16,21,16,17,8,8,20,0,16,2,36,28,24,27,9,24,0,24,8,25,8,24,18,8,8,18,28,8,60,0,60,24,60,23,24,33,28,22,8,63,31,28,8,8,31,25,31,63,0,8,26,25,63,20,27,31,30,63,29,63,95,26,32,54,46,32,33
37,8,8,8,0,0,14,12,0,10,0,6,13,16,11,8,12,15,16,16,8,16,16,16,0,16,16,16,0,16,16,16,16,8,20,20,16,6,16,0,16,16,16,0,28,19,24,21,24,16,60,18,60,3,27,28,16,60,16,8,24,8,60,60,60,24,63,24,8,25,8,16,29,63,29,63,16,23,0,45,63,46,44,3,29,26,55,63,63,28,0,63,32,63,63,30,28,63,54,54,31
38,8,8,0,8,8,8,8,0,8,8,8,8,13,13,8,16,16,16,12,12,16,16,16,8,16,0,8,16,16,22,16,16,16,8,16,20,16,16,16,16,20,8,16,20,16,24,16,8,24,19,16,52,22,61,25,60,25,24,60,60,60,8,23,16,63,16,44,28,54,28,63,63,4,63,5,26,63,25,63,25,56,47,63,63,37,8,31,63,27,35,38,16,46,21,97,36,63,16,63,63
39,8,8,0,0,8,0,8,8,12,11,8,12,13,16,12,16,16,13,12,16,11,10,8,16,8,0,16,16,8,8,16,16,16,18,25,21,20,22,18,16,27,26,8,24,14,8,16,0,13,60,21,20,24,60,21,8,25,16,24,24,8,11,45,44,26,25,8,30,24,63,29,63,63,63,17,16,63,63,21,32,63,25,47,8,63,16,16,0,8,54,63,34,63,26,34,53,63,63,16,55
40,8,0,0,0,8,12,8,12,12,8,8,12,13,8,16,16,16,0,16,0,16,8,16,0,16,0,22,19,8,16,8,22,16,16,8,8,29,16,27,16,16,27,17,16,16,60,25,52,24,8,24,19,18,8,26,60,18,24,8,24,44,60,24,60,24,52,60,8,15,26,8,63,30,0,8,63,8,23,24,63,46,55,27,63,8,63,55,55,30,32,63,26,63,27,16,63,24,16,28,63
41,8,8,0,0,8,8,11,8,0,16,12,15,15,14,0,13,8,16,16,16,13,0,8,0,16,16,16,8,16,16,16,8,16,11,8,16,16,16,16,20,23,23,16,15,16,23,15,26,17,18,8,16,24,19,25,60,8,60,24,24,18,52,52,24,0,8,25,63,16,17,63,63,63,8,63,0,63,63,54,63,63,8,63,24,27,63,27,55,27,63,8,27,62,27,45,16,62,28,63,16
42,8,8,0,13,0,0,0,10,13,0,10,11,16,12,16,16,12,16,14,16,16,21,11,0,16,12,0,16,16,16,16,16,25,16,8,17,17,16,16,8,8,24,17,16,23,16,18,21,8,21,16,25,24,24,22,52,8,8,8,20,60,60,26,44,60,23,60,30,28,8,61,24,63,0,24,25,21,24,54,31,54,63,28,27,63,24,63,47,63,10,54,53,54,55,54,63,47,63,63,63
43,8,0,8,12,12,0,14,8,8,16,11,8,0,8,13,16,8,8,16,8,0,16,8,16,16,16,0,0,8,8,8,16,16,0,20,16,25,16,0,8,20,16,16,6,0,8,19,60,16,16,26,20,16,19,8,8,60,60,60,61,60,8,25,24,16,23,63,23,18,28,28,23,16,8,8,63,8,25,31,16,46,0,21,63,30,24,24,8,62,63,34,55,25,24,60,31,63,63,63,52
44,8,8,8,0,11,0,8,8,13,12,8,8,8,16,16,12,11,16,0,8,16,11,16,16,16,16,16,0,16,16,16,16,16,16,23,20,20,20,8,0,30,20,24,21,0,8,16,25,17,16,16,8,60,20,60,16,29,18,24,60,24,16,0,0,6,8,63,28,23,45,8,63,29,8,54,28,63,63,26,63,25,28,29,20,26,25,55,26,30,16,30,63,16,81,30,55,55,63,63,63
45,8,0,0,10,8,14,8,8,0,13,8,16,16,11,16,12,16,16,9,12,8,16,0,16,16,16,8,16,16,8,16,8,23,16,20,16,23,24,14,16,20,16,25,20,24,22,24,8,16,16,16,0,8,60,15,13,24,28,44,24,60,8,63,8,24,0,26,44,17,63,60,19,63,63,24,63,63,55,16,7,8,30,46,23,55,29,12,38,28,55,8,26,28,46,29,63,63,97,63,16
46,8,8,8,8,0,8,8,4,0,13,16,16,0,16,0,8,0,0,16,16,16,7,8,0,23,8,0,0,16,16,16,16,8,16,0,8,23,27,28,25,26,20,8,60,60,21,24,24,16,60,16,26,52,16,8,8,24,60,8,52,60,24,24,63,24,24,54,22,16,8,0,10,30,8,23,28,63,22,17,27,59,29,45,3,8,63,63,63,16,32,37,46,16,63,54,32,63,30,35,63
47,8,8,0,8,8,8,5,16,0,8,8,6,16,8,13,14,16,16,3,0,12,16,16,0,16,0,16,8,22,8,8,16,0,8,20,0,23,16,16,23,0,13,22,17,23,24,17,26,16,24,22,8,22,24,8,0,52,24,60,60,63,60,24,60,60,8,24,60,60,28,60,45,29,24,63,0,30,0,63,10,63,60,24,63,8,54,28,53,8,26,24,63,54,0,54,15,24,55,60,98
48,8,8,0,12,0,8,8,0,8,14,0,13,10,12,16,16,8,6,13,16,16,8,8,16,8,16,8,16,16,16,16,16,16,25,8,23,0,21,16,21,16,16,16,24,22,24,60,20,16,2,0,8,16,24,60,60,60,60,24,24,60,60,24,8,60,24,8,46,63,63,63,16,63,54,24,63,63,63,63,8,0,19,63,28,63,55,32,63,29,63,16,63,7,63,63,27,53,89,60,63
49,8,8,8,0,0,8,11,9,16,12,0,8,0,14,4,0,16,16,16,8,13,14,16,11,16,16,16,8,16,16,21,16,16,8,16,16,16,16,8,12,8,8,26,23,60,27,8,24,26,19,8,6,23,20,0,28,52,24,8,19,24,63,60,0,8,24,60,63,63,28,27,52,63,12,31,22,8,28,63,29,8,8,54,2,16,30,8,8,63,63,63,31,54,16,63,16,55,54,20,99
